id,song_name,level,level_index,score,rating,over_power,clear,full_combo,full_chain,rank,upload_time,play_time
2371,No Limit RED Force,13,3,1008062,15.0562,75.843,clear,fullcombo,,sss,2025-03-10 15:55:20,2025-03-07 06:17:00
823,Opfer,13+,2,1001396,14.8396,74.198,clear,,,ss,2025-03-10 15:55:20,2025-03-07 05:32:00
2109,Rule the World!!,14,3,992739,14.70956,73.5478,clear,,,sp,2025-03-10 15:55:20,2025-03-07 06:13:00
2326,U&iVERSE -銀河鸞翔-,14,3,981140,14.6456,73.228,clear,,,s,2025-03-10 15:55:20,
824,神威 (NAOKI × ZPP MIX),13+,2,996935,14.5774,72.887,clear,,,sp,2025-03-10 15:55:20,
893,Giselle,13+,2,993688,14.54752,72.7376,clear,,,sp,2025-03-10 15:55:20,
1091,クロートーと星の観測者,14,3,987115,14.4846,72.423,clear,,,s,2025-03-10 15:55:20,2025-03-07 05:48:00
886,Memory of Beach,13+,3,989426,14.37704,71.8852,clear,,,s,2025-03-10 15:55:20,
2407,Makear,13+,2,986510,14.3604,71.802,clear,,,s,2025-03-10 15:55:20,
2480,GEOMETRIC DANCE,13,2,998421,14.33684,71.6842,clear,,,sp,2025-03-10 15:55:20,
2417,LiftOff,12,2,1007644,14.3144,71.716,clear,fullcombo,,sss,2025-03-10 15:55:20,
2111,Radiance,13+,3,985144,14.30576,71.5288,clear,,,s,2025-03-10 15:55:20,2025-03-07 05:45:00
2270,TEmPTaTiON,13+,2,992944,14.21776,71.0888,clear,,,sp,2025-03-10 15:55:20,
1100,TECHNOPOLIS 2085,12,2,1008296,14.1796,71.694,clear,fullcombo,,sss,2025-03-10 15:55:20,
2382,Knight Rider,12+,2,1003312,14.1312,70.656,clear,,,ss,2025-03-10 15:55:20,
2296,Desperado Waltz,13,2,995570,14.1228,70.614,clear,,,sp,2025-03-10 15:55:20,
2398,neu,13+,2,982559,14.10236,70.5118,clear,,,s,2025-03-10 15:55:20,2025-03-07 05:40:00
619,End Time,13+,2,981565,13.9626,69.813,clear,,,s,2025-03-10 15:55:20,2025-03-07 05:29:00
1009,Alea jacta est!,13,2,998215,13.9286,69.643,clear,,,sp,2025-03-10 15:55:20,
749,Fracture Ray,12+,2,1003364,13.8364,69.182,clear,,,ss,2025-03-10 15:55:20,
822,Excalibur ～Revived resolution～,12+,2,995849,13.63396,68.1698,clear,,,sp,2025-03-10 15:55:20,
2246,Transcend Lights,12,3,1003208,13.5208,67.604,clear,,,ss,2025-03-10 15:55:20,
702,スピカの天秤,12,2,1001178,13.4178,67.089,clear,,,ss,2025-03-10 15:55:20,
1092,真千年女王,12+,2,986290,13.1516,65.758,clear,,,s,2025-03-10 15:55:20,
895,Life is PIANO,11,2,1007505,13.1005,65.5075,clear,fullcombo,,sss,2025-03-10 15:55:20,
2099,Don't Fight The Music,12,2,991806,12.97224,64.8612,clear,,,sp,2025-03-10 15:55:20,
2346,FLUFFY FLASH,12,2,996664,12.96656,64.8328,clear,,,sp,2025-03-10 15:55:20,
979,Sweet Requiem,10+,2,1008003,12.9503,65.2545,clear,fullcombo,fullchain,sss,2025-03-10 15:55:20,
405,分からない,10+,2,1007760,12.726,63.89,clear,fullcombo,,sss,2025-03-10 15:55:20,
2223,地獄屋八丁荒らし,12,3,981804,12.57216,62.8608,clear,,,s,2025-03-10 15:55:20,
2326,U&iVERSE -銀河鸞翔-,10+,2,1005197,12.4394,62.197,clear,,,ssp,2025-03-10 15:55:20,
2138,NightTheater,11+,2,990775,12.431,62.155,clear,,,sp,2025-03-10 15:55:20,
222,Mr. Wonderland,11+,2,997686,12.40744,62.0372,clear,,,sp,2025-03-10 15:55:20,
